categoria,premiat,nominats,Presentat
Mejor pelicula,Green Book,"Black Panther,BlacKkKlansman ,Bohemian Rhapsody , La Favorita, Roma, A Star Is Born, Vice",Julia Roberts
Mejor director,Alfonso Cuarón – Roma,"Alfonso Cuarón-Roma, Spike Lee-BlacKkKlansman, Paweł Pawlikowski-Cold War,Yorgos Lanthimos-La Favorita, Adam McKay-Vice",Guillermo del Toro
Mejor actor,Rami Malek – Bohemian Rhapsody,"Rami Malek-Bohemian Rhapsody , Christian Bale-Vice, Bradley Cooper-A Star Is Born, Willem Dafoe -At Eternity's Gate, Viggo Mortensen-Green Book.",Allison Janney
Mejor actriz,Olivia Colman – La Favorita,"Olivia Colman-La Favorita,Yalitza Aparicio-Roma,  Glenn Close- La buena esposa, Lady Gaga-A Star Is Born,  Melissa McCarthy-Can You Ever Forgive Me?",Frances McDormand
Mejor actor de reparto,Mahershala Ali – Green Book,"Mahershala Ali-Green Book, Adam Driver-BlacKkKlansman, Sam Elliott-A Star Is Born, Richard E. Grant-Can You Ever Forgive Me?,  Sam Rockwell-Vice",Daniel Craig
Mejor actriz de reparto,Regina King – If Beale Street Could Talk,"Regina King- If Beale Street Could Talk,  Amy Adams-Vice,  Marina de Tavira-Roma,  Emma Stone-La Favorita,  Rachel Weisz-La Favorita",Tina Fey
Mejor guion original,"Green Book – Nick Vallelonga, Brian Currie y Peter Farrelly","Green Book-Nick Vallelonga, La Favorita-Deborah Davis y Tony McNamara, First Reformed-Paul Schrader, Roma-Alfonso Cuarón, Vice-Adam McKay",Samuel L. Jackson
Mejor guion adaptado,"BlacKkKlansman – Charlie Wachtel, David Rabinowitz, Kevin Willmott y Spike Lee","BlacKkKlansman-Charlie Wachtel, La balada de Buster Scruggs-Joel Coen e Ethan Coen, Can You Ever Forgive Me?-Nicole Holofcener, If Beale Street Could Talk-Barry Jenkins,  A Star Is Born-Eric Rothetters,",Samuel L. Jackson
Mejor pelicula de animacion,Spider-Man: Un nuevo universo ,"Spider-Man: Un nuevo universo , Los Increíbles 2,  Isla de perros , Mirai no Mirai ,Ralph Breaks the Internet",Pharrell Williams
Mejor pelicula de habla no inglesa,Roma (México) ," Roma (México), Cafarnaúm (Líbano), Cold War (Polonia), Never Look Away (Alemania), Manbiki Kazoku (Japón)",Javier Bardem
Mejor documental largo,Free Solo,"Free Solo , Hale County This Morning This Evening, Minding the Gap, Of Fathers and Sons , RBG ",Helen Mirren
Mejor documental corto,Period. End of Sentence,"Period. End of Sentence, Black Sheep , End Game , Lifeboat , A Night at the Garden",Awkwafina
Mejor cortometraje,Skin,"Skin, Detainment, Fauve, Marguerite , Madre",Kiki Layne
Mejor cortometraje animado,Bao,"Bao, Animal Behaviour , Late Afternoon, One Small Step, Weekends",Awkwafina
Mejor banda sonora,Black Panther,"Black Panther,BlacKkKlansman,If Beale Street Could Talk, Isla de perros, El regreso de Mary Poppins ",Michael B. Jordan
Mejor cancion original,Shallow de A Star Is Born,"Shallow, All the Stars, I’ll Fight ,The Place Where Lost Things Go, When A Cowboy Trades His Spurs For Wings",Chadwick Boseman
Mejor edicion de sonido,Bohemian Rhapsody ,"Bohemian Rhapsody,  Black Panther,  First Man,  A Quiet Place,  Roma",Danai Gurira
Mejor sonido,Bohemian Rhapsody ,"Bohemian Rhapsody,  Black Panther,  First Man,  Roma,  A Star Is Born",Danai Gurira
Mejor diseño de produccion,Black Panther,"Black Panther, La Favorita, First Man, El regreso de Mary Poppins, Roma",Chris Evans
Mejor fotografia,Roma,"Roma, Cold War, La Favorita, Never Look Away, A Star Is Born",Tyler Perry
Mejor maquillaje,Vice,"Vice, Border, Mary Queen of Scots",Elsie Fisher
Mejor diseño de vestuario,Black Panther,"Black Panther, La balada de Buster Scruggs, La Favorita,  El regreso de Mary Poppins,  Mary Queen of Scots",Brian Tyree Henry
Mejor montaje,Bohemian Rhapsody ,"Bohemian Rhapsody, BlacKkKlansman, La Favorita , Green Book, Vice",Michael Keaton
Mejores efectos visuales,First Man,"First Man , Avengers: Infinity War, Christopher Robin, Ready Player One , Han Solo: una historia de Star Wars",Sarah Paulson
